weeks	baby_id	g__Bifidobacterium	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
14	290	93.84397	0	0	0	48.11752	40.681059999999995	0	0.01872	0.59077	4.4359	0	0
14	220	37.48189	21.94717	0	0.00103	9.59302	0.04445	0	0.09642	5.60992	0.00895	0.18092	0
14	81	6.23163	0	0	5.71632	0.21006	0	0	0	0.30525	0	0	0
14	242	1.9089099999999999	0	0	0.59233	1.02346	0.18972999999999998	0	0.01012	0.0831	0.01017	0	0
14	319	0.63637	0	0	0.14590999999999998	0.05961	0.07939	0	0	0.35146	0	0	0
14	85	76.58076	39.78812	0	3.2e-4	16.47393	6.18372	9.74649	0	4.38561	0.00257	0	0
14	236	8.277999999999999	0	0	0.32964	0.05595	7.713260000000001	0	0.05279	0.12003	0.00632	0	0
14	235	31.159390000000002	0	0	0.5484899999999999	0	0.00576	0	25.13853	5.46211	0.00441	0	0
14	479	0.06081	0	0	0	0.02309	0.01254	0	0	0.01598	0.0092	0	0
15	522	26.78336	0	0	0	0.014469999999999998	0	0	0.06327	24.56758	2.13803	0	0
15	74	0	0	0	0	0	0	0	0	0	0	0	0
15	248	30.967159999999996	0	0	0	0	14.15528	0	0	16.81188	0	0	0
15	249	41.9842	0.23997	0	0.04206	0	15.870870000000002	0	0.05619	25.7731	0.00201	0	0
15	218	46.86752	0.012980000000000002	0	0	13.724779999999999	24.6294	0	0	8.268419999999999	0.23193000000000003	0	0
16	327	36.15273	34.44983	0	0.18381	1.1e-4	0	0	1.41021	0.10878	0	0	0
16	327	10.11207	8.91055	0	0.23471999999999998	0.00443	0.18977	0	0.60356	0.16562000000000002	0.0034200000000000003	0	0
16	253	81.55624	0	0	81.45685999999999	0.07568	0.0103	0	0.00604	0.0067	6.7e-4	0	0
16	340	47.57219	1.5003	0	0	0.0028399999999999996	43.16672	0.0048200000000000005	0.018580000000000003	2.87894	0	0	0
16	232	13.751610000000001	0	0	0	0.05019	13.69014	0	0	0.0050799999999999994	0.0062	0	0
16	314	0.2454	0.0038200000000000005	0	0	0	0.00355	0	0	0.23803000000000002	0	0	0
16	343	0.04912	0	0	0.01905	0.0015400000000000001	3.5e-4	0	0.01039	0.0178	0	0	0
16	233	23.62014	14.79181	0	0	4.47666	0	0	0.08768	4.192819999999999	0	0.07117000000000001	0
17	318	42.41805	4.9e-4	0	0.026010000000000002	0.17369	0.07703	0	41.80805	0.32153000000000004	0.01125	0	0
17	180	12.08225	0	0	0	0.06742999999999999	1.35589	0	0.0032700000000000003	10.65565	0	0	0
17	293	0.14659	0	0	0	0.019540000000000002	0.12479000000000001	0	6.6e-4	0.0016	0	0	0
17	267	0.08437	0	0	0	0.008579999999999999	0	0	0	0.0758	0	0	0
17	222	0.06702999999999999	0	0	0	0.042089999999999995	0.02065	0	0	0.0031100000000000004	0.00119	0	0
17	54	64.97901999999999	0	0	0.004070000000000001	29.7652	35.00043	0	0	0.20786	0.00146	0	0
18	290	5.59865	0	0	0.05275	0.11689000000000001	0.051460000000000006	0	5.35404	0.02351	0	0	0
18	533	0.00732	0	0	0	0.0017100000000000001	0	0	0	0.00526	3.5e-4	0	0
18	537	0.13214	0.01317	0	0	0.044660000000000005	0	0	0	0.07103	0.00329	0	0
18	48	91.28822	0	0	0.00109	0	0.14556	0	0	91.14158	0	0	0
18	534	0.26359	0.22981	0	0	0.00935	0	0	0	0.024419999999999997	0	0	0
18	557	14.958089999999999	0.00609	0	0	3.01593	0.02213	0	0.02572	2.94745	8.940760000000001	0	0
19	65	37.0818	0.037860000000000005	0	0.67	0.22815	0.00995	0	19.09114	17.04469	0	0	0
19	135	87.05196	0.00133	0	0	0	87.02231	0	0.02833	0	0	0	0
19	302	1.4339	0.0159	0	0	0	0	0	0	1.41583	0.00217	0	0
19	71	48.51153	21.02192	0	0.27447	0.17363	0.30671	0.013330000000000002	0.14657	26.56573	0.009170000000000001	0	0
19	239	1.05846	0	0	0.99711	0	0	0	0	0.06135	0	0	0
19	240	0.14074	0	0	0.09246	0	0.045610000000000005	0	0	0.00268	0	0	0
